logLHa,logLX
38.11,38.38
36.34,35.94
37.64,38.66
39.86,39.44
38.57,38.73
39.67,41.65
38.1,38.98
37.84,38.42
39.93,38.91
38.84,38.59
39.91,39.06
36.73,38.15
41.53,41.1
38.6,40.3
39.46,39.95
38.21,38.5
39.83,40.56
39.77,40.09
38.56,39.46
40.27,39.4
38.62,39.98
37.98,38.72
39.14,38.07
39.32,40.01
38.34,38.25
38.65,40.91
40.57,38.45
38.17,38.51
38.85,38.38
38.36,38.75
37.95,38.78
39.58,41.6
38.27,38.09
38.36,39.27
40.83,38.87
38.0,38.17
39.5,38.98
37.85,40.11
39.99,38.32
38.75,39.56
41.51,41.05
38.08,38.66
38.97,39.1
38.29,39.38
38.93,38.22
41.05,39.74
38.17,38.37
39.71,41.53
39.72,37.94
39.13,40.88
39.62,38.76
38.96,40.87
40.0,39.28
40.53,40.25
41.34,40.71
37.89,38.52
39.31,40.37
38.77,38.9
39.15,38.22
39.1,38.92
39.64,39.16
38.26,38.98
38.81,39.26
39.75,39.7
38.17,41.06
40.29,37.99
38.91,38.61
39.15,40.3
39.99,39.28
40.07,41.41
38.13,38.8
37.97,38.28
39.64,40.83
39.79,41.3
41.5,40.47
39.11,38.89
38.3,38.14
38.66,41.49
38.63,39.9
40.94,42.5
38.75,40.18
39.02,40.21
38.84,38.45
39.75,41.07
37.85,38.95
39.66,39.8
38.33,39.15
37.66,38.79
38.43,39.6
38.3,38.69
37.58,38.36
40.98,42.33
38.04,39.91
39.16,38.9
40.54,39.46
39.69,39.47
40.05,39.08
38.81,40.51
39.36,38.72
38.77,38.23
38.05,38.28
39.2,39.0
38.83,39.63
38.05,39.6
39.61,39.33
39.97,39.06
38.46,38.64
38.58,38.23
38.1,39.06
38.99,39.98
39.25,39.0
38.06,38.45
38.3,38.63
38.15,39.22
38.86,41.39
38.83,39.57
39.97,39.44
39.32,39.23
38.55,38.66
38.31,38.79
37.1,38.02
39.31,40.92
39.48,38.52
39.89,40.11
39.74,41.33
39.76,38.15
38.48,40.62
39.05,39.19
38.93,39.26
38.77,39.91
38.47,38.73
39.39,40.64
39.54,38.62
38.75,39.1
40.29,39.43
38.96,38.86
38.82,38.93
37.62,37.56
40.14,38.83
37.36,38.16
40.82,40.27
40.15,39.15
36.78,38.53
